rule_id,execution_provenance,owner,scope
CORE-001042,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001045,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001046,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001047,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001048,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001049,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001050,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001051,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001052,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001053,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001054,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001055,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001062,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001065,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001066,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001067,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001070,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001071,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001072,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001073,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001074,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001075,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001077,rule_id_hand_port,core-api,open-rules-oracle-harness
